NSE Symbol,Yahoo Code,Security Name
MAXWELL,MAXWELL.NS,Maxwell Industries Limited
MBECL,MBECL.NS,Mcnally Bharat Engineering Company Limited
MBLINFRA,MBLINFRA.NS,MBL Infrastructures Limited
MCX,MCX.NS,Multi Commodity Exchange of India Limited
MEGASOFT,MEGASOFT.NS,Megasoft Limited
MEGH,MEGH.NS,Meghmani Organics Limited
MERCATOR,MERCATOR.NS,Mercator Limited
MERCK,MERCK.NS,Merck Limited
METKORE,METKORE.NS,Metkore Alloys & Industries Limited
MGOLD,MGOLD.NS,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Gold ETF
MHRIL,MHRIL.NS,Mahindra Holidays & Resorts India Limited
MIC,MIC.NS,MIC Electronics Limited
MICROSEC,MICROSEC.NS,Microsec Financial Services Limited
MICROTECH,MICROTECH.NS,Micro Technologies (India) Limited
MINDAIND,MINDAIND.NS,Minda Industries Limited
MIRCELECTR,MIRCELECT.NS,MIRC Electronics Limited
MIRZAINT,MIRZAINT.NS,Mirza International Limited
MMFL,MMFL.NS,MM Forgings Limited
MMFSL,MMFSL.NS,Money Matters Financial Services Limited
MMTC,MMTC.NS,MMTC Limited
MOIL,MOIL.NS,MOIL Limited
MONNETISPA,MONNETISP.NS,Monnet Ispat and Energy Limited
MONSANTO,MONSANTO.NS,Monsanto India Limited
MOREPENLAB,MOREPENLA.NS,Morepen Laboratories Limited
MOSERBAER,MOSERBAER.NS,Moser-Baer (I) Limited
MOTHERSUMI,MOTHERSUM.NS,Motherson Sumi Systems Limited
MOTILALOFS,MOTILALOF.NS,Motilal Oswal Financial Services Limited
MOTOGENFIN,MOTOGENFI.NS,The Motor & General Finance Limited
MPSLTD,MPSLTD.NS,MPS Limited
MRO-TEK,MRO-TEK.NS,MRO-TEK Limited
MSPL,MSPL.NS,MSP Steel & Power Limited
MTEDUCARE,MTEDUCARE.NS,MT Educare Limited
MUKANDENGG,MUKANDENG.NS,Mukand Engineers Limited
MUKANDLTD,MUKANDLTD.NS,Mukand Limited
MUKTAARTS,MUKTAARTS.NS,Mukta Arts Limited
MUNJALSHOW,MUNJALSHO.NS,Munjal Showa Limited
MURLIIND,MURLIIND.NS,Murli Industries Limited
MURUDCERA,MURUDCERA.NS,Murudeshwar Ceramics Limited
MUTHOOTFIN,MUTHOOTFI.NS,Muthoot Finance Limited
MVL,MVL.NS,MVL Limited
MVLIND,MVLIND.NS,MVL Industries Limited
MYSOREBANK,MYSOREBAN.NS,State Bank of Mysore
N100,N100.NS,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO
NAGREEKEXP,NAGREEKEX.NS,Nagreeka Exports Limited
NAHARCAP,NAHARCAP.NS,Nahar Capital and Financial Services Limited
NAHARINDUS,NAHARINDU.NS,Nahar Industrial Enterprises Limited
NAHARPOLY,NAHARPOLY.NS,Nahar Poly Films Limited
NAHARSPING,NAHARSPIN.NS,Nahar Spinning Mills Limited
NANDANEXIM,NANDANEXI.NS,Nandan Exim Limited
NATCOPHARM,NATCOPHAR.NS,Natco Pharma Limited
NATHSEED,NATHSEED.NS,Nath Seeds Limited
NATIONALUM,NATIONALU.NS,National Aluminium Company Limited
NATNLSTEEL,NATNLSTEE.NS,National Steel And Agro Industries Limited
NAVINFLUOR,NAVINFLUO.NS,Navin Fluorine International Limited
NAVNETPUBL,NAVNETPUB.NS,Navneet Publications India Limited
NBCC,NBCC.NS,National Buildings Construction Corporation Limited
NBVENTURES,NBVENTURE.NS,Nava Bharat Ventures Limited
NDTV,NDTV.NS,New Delhi Television Limited
NECLIFE,NECLIFE.NS,Nectar Lifesciences Limited
NELCAST,NELCAST.NS,Nelcast Limited
NELCO,NELCO.NS,NELCO Limited
NEPCMICON,NEPCMICON.NS,NEPC India Limited
NESCO,NESCO.NS,Nesco Limited
NESTLEIND,NESTLEIND.NS,Nestle India Limited
NET4,NET4.NS,Net 4 India Limited
NETWORK18,NETWORK18.NS,Network18 Media & Investments Limited
NEXTMEDIA,NEXTMEDIA.NS,Next Mediaworks Limited
NEYVELILIG,NEYVELILI.NS,Neyveli Lignite Corporation Limited
NFL,NFL.NS,National Fertilizers Limited
NICCO,NICCO.NS,Nicco Corporation Limited
NIFTYBEES,NIFTYBEES.NS,Benchmark Mutual Fund
NIITLTD,NIITLTD.NS,NIIT Limited
NIITTECH,NIITTECH.NS,NIIT Technologies Limited
NILKAMAL,NILKAMAL.NS,Nilkamal Limited
NIPPOBATRY,NIPPOBATR.NS,Nippo Batteries Company Limited
NITCO,NITCO.NS,Nitco Limited
NITESHEST,NITESHEST.NS,Nitesh Estates Limited
NITINFIRE,NITINFIRE.NS,Nitin Fire Protection Industries Limited
NITINSPIN,NITINSPIN.NS,Nitin Spinners Limited
NOCIL,NOCIL.NS,NOCIL Limited
NOIDATOLL,NOIDATOLL.NS,Noida Toll Bridge Company Limited
NORBTEAEXP,NORBTEAEX.NS,Norben Tea & Exports Limited
NRBBEARING,NRBBEARIN.NS,NRB Bearing Limited
NRC,NRC.NS,NRC Limited
NUCLEUS,NUCLEUS.NS,Nucleus Software Exports Limited
OBEROIRLTY,OBEROIRLT.NS,Oberoi Realty Limited
OCL,OCL.NS,OCL India Limited
OILCOUNTUB,OILCOUNTU.NS,Oil Country Tubular Limited
OISL,OISL.NS,OCL Iron and Steel Limited
OMAXAUTO,OMAXAUTO.NS,Omax Autos Limited
OMAXE,OMAXE.NS,Omaxe Limited
OMKARCHEM,OMKARCHEM.NS,Omkar Speciality Chemicals Limited
OMMETALS,OMMETALS.NS,OM Metals Infraprojects Limited
OMNITECH,OMNITECH.NS,Omnitech Infosolutions Limited
ONELIFECAP,ONELIFECA.NS,Onelife Capital Advisors Limited
ONWARDTEC,ONWARDTEC.NS,Onward Technologies Limited
ORBITCORP,ORBITCORP.NS,Orbit Corporation Limited
ORIENTABRA,ORIENTABR.NS,Orient Abrasives Limited
ORIENTALTL,ORIENTALT.NS,Oriental Trimex Limited
ORIENTBELL,ORIENTBEL.NS,Orient Bell Limited
ORIENTHOT,ORIENTHOT.NS,Oriental Hotels Limited
ORIENTLTD,ORIENTLTD.NS,Orient Press Limited
ORIENTPPR,ORIENTPPR.NS,Orient Paper & Industries Limited
ORIENTREF,ORIENTREF.NS,Orient Refractories Limited
ORISSAMINE,ORISSAMIN.NS,The Orissa Minerals Development Company Limited
PAEL,PAEL.NS,PAE Limited
PAGEIND,PAGEIND.NS,Page Industries Limited
PANACEABIO,PANACEABI.NS,Panacea Biotec Limited
PANAMAPET,PANAMAPET.NS,Panama Petrochem Limited
PANCARBON,PANCARBON.NS,Panasonic Carbon India Company Limited
PANORAMUNI,PANORAMUN.NS,Panoramic Universal Limited
PAPERPROD,PAPERPROD.NS,The Paper Products Limited
PARABDRUGS,PARABDRUG.NS,Parabolic Drugs Limited
PARACABLES,PARACABLE.NS,Paramount Communications Limited
PARAPRINT,PARAPRINT.NS,Paramount Printpackaging Limited
PARASPETRO,PARASPETR.NS,Paras Petrofils Limited
PARSVNATH,PARSVNATH.NS,Parsvnath Developers Limited
PATINTLOG,PATINTLOG.NS,Patel Integrated Logistics Limited
PDPL,PDPL.NS,Parenteral Drugs (India) Limited
PDUMJEPULP,PDUMJEPUL.NS,Pudumjee Pulp & Paper Mills Limited
PENIND,PENIND.NS,Pennar Industries Limited
PENINLAND,PENINLAND.NS,Peninsula Land Limited
PERSISTENT,PERSISTEN.NS,Persistent Systems Limited
PETRONENGG,PETRONENG.NS,Petron Engineering Construction Limited
PFIZER,PFIZER.NS,Pfizer Limited
PFOCUS,PFOCUS.NS,Prime Focus Limited
PFS,PFS.NS,PTC India Financial Services Limited
PGHH,PGHH.NS,Procter & Gamble Hygiene and Health Care Limited
PHILIPCARB,PHILIPCAR.NS,Phillips Carbon Black Limited
PHOENIXLTD,PHOENIXLT.NS,The Phoenix Mills Limited
PIDILITIND,PIDILITIN.NS,Pidilite Industries Limited
PIIND,PIIND.NS,PI Industries Limited
PIPAVAVDOC,PIPAVAVDO.NS,Pipavav Defence and Offshore Engineering Company Limited
PIRGLASS,PIRGLASS.NS,Piramal Glass Limited
PITTILAM,PITTILAM.NS,Pitti Laminations Limited
PLASTIBLEN,PLASTIBLE.NS,Plastiblends India Limited
PLETHICO,PLETHICO.NS,Plethico Pharmaceuticals Limited
PNBGILTS,PNBGILTS.NS,PNB Gilts Limited
PNC,PNC.NS,Pritish Nandy Communications Limited
POCHIRAJU,POCHIRAJU.NS,Pochiraju Industries Limited
POLYMED,POLYMED.NS,Poly Medicure Limited
POLYPLEX,POLYPLEX.NS,Polyplex Corporation Limited
PONDYOXIDE,PONDYOXID.NS,Pondy Oxides & Chemicals Limited
PONNIERODE,PONNIEROD.NS,Ponni Sugars (Erode) Limited
PPAP,PPAP.NS,Precision Pipes And Profiles Company Limited
PRADIP,PRADIP.NS,Pradip Overseas Limited
PRAKASH,PRAKASH.NS,Prakash Industries Limited
PRAKASHCON,PRAKASHCO.NS,Prakash Constrowell Limited
PRAKASHSTL,PRAKASHST.NS,Prakash Steelage Limited
PRATIBHA,PRATIBHA.NS,Pratibha Industries Limited
PRECOT,PRECOT.NS,Precot Meridian Limited
PRECWIRE,PRECWIRE.NS,Precision Wires India Limited
PREMIER,PREMIER.NS,Premier Limited
PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Limited
PRETAILDVR,PRETAILDV.NS,Pantaloon Retail (India) Limited
PRIMESECU,PRIMESECU.NS,Prime Securities Limited
PRISMCEM,PRISMCEM.NS,Prism Cement Limited
PRITHVI,PRITHVI.NS,Prithvi Information Solutions Limited
PSB,PSB.NS,Punjab & Sind Bank
PSL,PSL.NS,PSL Limited
PSUBNKBEES,PSUBNKBEE.NS,Benchmark Mutual Fund - PSU Bank Benchmark Exchange Traded Scheme 
PTL,PTL.NS,PTL Enterprises Limited
PUNJABCHEM,PUNJABCHE.NS,Punjab Chemicals & Crop Protection Limited
PURVA,PURVA.NS,Puravankara Projects Limited
PVR,PVR.NS,PVR Limited
QGOLDHALF,QGOLDHALF.NS,Quantum Gold Fund -Exchange Traded Fund (ETF)
QNIFTY,QNIFTY.NS,Quantum Index Fund -Exchange Traded Fund (ETF)
RADAAN,RADAAN.NS,Radaan Mediaworks India Limited
RADICO,RADICO.NS,Radico Khaitan Limited
RAINBOWPAP,RAINBOWPA.NS,Rainbow Papers Limited
RAINCOM,RAINCOM.NS,Rain Commodities Limited
RAJESHEXPO,RAJESHEXP.NS,Rajesh Exports Limited
RAJOIL,RAJOIL.NS,Raj Oil Mills Limited
RAJPALAYAM,RAJPALAYA.NS,Rajapalayam Mills Limited
RAJTV,RAJTV.NS,Raj Television Network Limited
RAJVIR,RAJVIR.NS,Rajvir Industries Limited
RALLIS,RALLIS.NS,Rallis India Limited
RAMANEWS,RAMANEWS.NS,Rama Newsprint and Papers Limited
RAMCOIND,RAMCOIND.NS,Ramco Industries Limited
RAMCOSYS,RAMCOSYS.NS,Ramco Systems Limited
RAMSARUP,RAMSARUP.NS,Ramsarup Industries Limited
RANEENGINE,RANEENGIN.NS,Rane Engine Valve Limited
RANEHOLDIN,RANEHOLDI.NS,Rane Holdings Limited
RATNAMANI,RATNAMANI.NS,Ratnamani Metals & Tubes Limited
RBL,RBL.NS,Rane Brake Lining Limited
RBN,RBN.NS,Reliance Broadcast Network Limited
RCF,RCF.NS,Rashtriya Chemicals and Fertilizers Limited
REDINGTON,REDINGTON.NS,Redington (India) Limited
REIAGROLTD,REIAGROLT.NS,Rei Agro Limited
RELAXO,RELAXO.NS,Relaxo Footwears Limited
RELBANK,RELBANK.NS,Reliance Mutual Fund -Banking Exchange Traded Fund (ETF)
RELGOLD,RELGOLD.NS,Reliance Mutual Fund - Gold Exchange Traded Fund 
RELGRNIFTY,RELGRNIFT.NS,Religare Mutual Fund - Religare Nifty Exchange Traded Fund
RELIGARE,RELIGARE.NS,Religare Enterprises Limited
RELIGAREGO,RELIGAREG.NS,Religare Mutual Fund - Religare Gold Exchange Traded Fund
RELMEDIA,RELMEDIA.NS,Reliance MediaWorks Limited
REPRO,REPRO.NS,Repro India Limited
RESPONIND,RESPONIND.NS,Responsive Industries Limited
REVATHI,REVATHI.NS,Revathi Equipment Limited
RICOAUTO,RICOAUTO.NS,Rico Auto Industries Limited
RIIL,RIIL.NS,Reliance Industrial Infrastructure Limited
RJL,RJL.NS,Renaissance Jewellery Limited
RKDL,RKDL.NS,Ravi Kumar Distilleries Limited
RKFORGE,RKFORGE.NS,Ramkrishna Forgings Limited
RMCL,RMCL.NS,Radha Madhav Corporation Limited
RML,RML.NS,Rane (Madras) Limited
ROHITFERRO,ROHITFERR.NS,Rohit Ferro-Tech Limited
ROHLTD,ROHLTD.NS,Royal Orchid Hotels Limited
ROMAN,ROMAN.NS,Roman Tarmat Limited
RPPINFRA,RPPINFRA.NS,R.P.P. Infra Projects Limited
RSYSTEMS,RSYSTEMS.NS,R Systems International Limited
RUBYMILLS,RUBYMILLS.NS,The Ruby Mills Limited
RUCHINFRA,RUCHINFRA.NS,Ruchi Infrastructure Limited
RUCHIRA,RUCHIRA.NS,Ruchira Papers Limited
RUPA,RUPA.NS,Rupa & Company Limited
RUSHIL,RUSHIL.NS,Rushil Decor Limited
SABTN,SABTN.NS,Sri Adhikari Brothers Television Network Limited
SADBHAV,SADBHAV.NS,Sadbhav Engineering Limited
SAGCEM,SAGCEM.NS,Sagar Cements Limited
SAHPETRO,SAHPETRO.NS,Sah Petroleums Limited
SAKSOFT,SAKSOFT.NS,Saksoft Limited
SAKUMA,SAKUMA.NS,Sakuma Exports Limited
SALORAINTL,SALORAINT.NS,Salora International Limited
SALSTEEL,SALSTEEL.NS,S.A.L. Steel Limited
SAMBANDAM,SAMBANDAM.NS,Sambandam Spinning Mills Limited
SANDESH,SANDESH.NS,The Sandesh Limited
SANGAMIND,SANGAMIND.NS,Sangam (India) Limited
SANGHIIND,SANGHIIND.NS,Sanghi Industries Limited
SANGHVIFOR,SANGHVIFO.NS,Sanghvi Forging and Engineering Limited
SANGHVIMOV,SANGHVIMO.NS,Sanghvi Movers Limited
SANOFI,SANOFI.NS,Sanofi India Limited
SARDAEN,SARDAEN.NS,Sarda Energy & Minerals Limited
SAREGAMA,SAREGAMA.NS,Saregama India Limited
SARLAPOLY,SARLAPOLY.NS,Sarla Performance Fibers Limited
SASKEN,SASKEN.NS,Sasken Communication Technologies Limited
SATHAISPAT,SATHAISPA.NS,Sathavahana Ispat Limited
SATYAMCOMP,SATYAMCOM.NS,Satyam Computer Services Limited
SAVERA,SAVERA.NS,Savera Industries Limited
SB&TINTL,SB&TINTL.NS,SB&T International Limited
SBBJ,SBBJ.NS,State Bank of Bikaner and Jaipur
SBIGETS,SBIGETS.NS,SBI Mutual Fund - SBI Gold Exchange Traded Scheme - Growth Option #
SBT,SBT.NS,State Bank of Travancore
SCHNEIDER,SCHNEIDER.NS,Schneider Electric Infrastructure Limited
SEAMECLTD,SEAMECLTD.NS,Seamec Limited
SEINV,SEINV.NS,S.E. Investments Limited
SELAN,SELAN.NS,Selan Exploration Technology Limited
SERVALL,SERVALL.NS,Servalakshmi Paper Limited
SESHAPAPER,SESHAPAPE.NS,Seshasayee Paper and Boards Limited
SGJHL,SGJHL.NS,Shree Ganesh Jewellery House Limited
SHAKTIPUMP,SHAKTIPUM.NS,Shakti Pumps (India) Limited
SHARIABEES,SHARIABEE.NS,Benchmark Mutual Fund - Shariah Benchmark Exchange Traded Scheme (ETF) #
SHARONBIO,SHARONBIO.NS,Sharon Bio-Medicine Limited
SHARRESLTD,SHARRESLT.NS,Sharyans Resources Limited
SHASUNPHAR,SHASUNPHA.NS,Shasun Pharmaceuticals Limited
SHILPAMED,SHILPAMED.NS,Shilpa Medicare Limited
SHIV-VANI,SHIV-VANI.NS,Shiv-Vani Oil & Gas Exploration Services Limited
SHLAKSHMI,SHLAKSHMI.NS,Shri Lakshmi Cotsyn Limited
SHOPERSTOP,SHOPERSTO.NS,Shoppers Stop Limited
SHREEASHTA,SHREEASHT.NS,Shree Ashtavinayak Cine Vision Limited
SHREECEM,SHREECEM.NS,Shree Cements Limited
SHREERAMA,SHREERAMA.NS,Shree Rama Multi-Tech Limited
SHRENUJ,SHRENUJ.NS,Shrenuj & Company Limited
SHRIRAMCIT,SHRIRAMCI.NS,Shriram City Union Finance Limited
SHRIRAMEPC,SHRIRAMEP.NS,Shriram EPC Limited
SHYAMTEL,SHYAMTEL.NS,Shyam Telecom Limited
SICAGEN,SICAGEN.NS,Sicagen India Limited
SICAL,SICAL.NS,Sical Logistics Limited
SIGNETIND,SIGNETIND.NS,Signet Industries Limited
SILINV,SILINV.NS,SIL Investments Limited
SIMPLEX,SIMPLEX.NS,Simplex Projects Limited
SIMPLEXINF,SIMPLEXIN.NS,Simplex Infrastructures Limited
SIRPAPER,SIRPAPER.NS,The Sirpur Paper Mills Limited
SITASHREE,SITASHREE.NS,Sita Shree Food Products Limited
SIYSIL,SIYSIL.NS,Siyaram Silk Mills Limited
SJVN,SJVN.NS,SJVN Limited
SKFINDIA,SKFINDIA.NS,SKF India Limited
SKMEGGPROD,SKMEGGPRO.NS,SKM Egg Products Export (India) Limited
SKSMICRO,SKSMICRO.NS,SKS Microfinance Limited
SMARTLINK,SMARTLINK.NS,Smartlink Network Systems Limited
SMLISUZU,SMLISUZU.NS,SML Isuzu Limited
SMPL,SMPL.NS,Sujana Metal Products Limited
SMSPHARMA,SMSPHARMA.NS,SMS Pharmaceuticals Limited
SOFTTECHGR,SOFTTECHG.NS,Software Technology Group International Limited
SOLARINDS,SOLARINDS.NS,Solar Industries India Limited
SOMANYCERA,SOMANYCER.NS,Somany Ceramics Limited
SONASTEER,SONASTEER.NS,Sona Koyo Steering Systems Limited
SONATSOFTW,SONATSOFT.NS,Sonata Software Limited
SOTL,SOTL.NS,Savita Oil Technologies Limited
SOUISPAT,SOUISPAT.NS,Southern Ispat And Energy Limited
SPANCO,SPANCO.NS,Spanco Limited
SPARC,SPARC.NS,Sun Pharma Advanced Research Company Limited
SPECIALITY,SPECIALIT.NS,Speciality Restaurants Limited
SPECTACLE,SPECTACLE.NS,Spectacle Infotek Limited
SPIC,SPIC.NS,Southern Petrochemicals Industries Corporation Limited
SPMLINFRA,SPMLINFRA.NS,SPML Infra Limited
SRF,SRF.NS,SRF Limited
SRHHLINDST,SRHHLINDS.NS,SRHHL Industries Limited
SRSLTD,SRSLTD.NS,SRS Limited
SSWL,SSWL.NS,Steel Strips Wheels Limited
STAN,STAN.NS,Standard Chartered PLC
STAR,STAR.NS,Strides Arcolab Limited
STCINDIA,STCINDIA.NS,The State Trading Corporation of India Limited
STEL,STEL.NS,Stel Holdings Limited
STERTOOLS,STERTOOLS.NS,Sterling Tools Limited
STYABS,STYABS.NS,Styrolution ABS (India) Limited
SUBEX,SUBEX.NS,Subex Limited
SUBROS,SUBROS.NS,Subros Limited
SUDAR,SUDAR.NS,Sudar Garments Limited
SUDARSCHEM,SUDARSCHE.NS,Sudarshan Chemical Industries Limited
SUJANAUNI,SUJANAUNI.NS,Sujana Universal Industries Limited
SUMEETINDS,SUMEETIND.NS,Sumeet Industries Limited
SUMMITSEC,SUMMITSEC.NS,Summit Securities Limited
SUNCLAYTON,SUNCLAYTO.NS,Sundaram Clayton Limited
SUNDARAM,SUNDARAM.NS,Sundaram Multi Pap Limited
SUNDARMFIN,SUNDARMFI.NS,Sundaram Finance Limited
SUNDRMBRAK,SUNDRMBRA.NS,Sundaram Brake Linings Limited
SUNDRMFAST,SUNDRMFAS.NS,Sundram Fasteners Limited
SUNFLAG,SUNFLAG.NS,Sunflag Iron And Steel Company Limited
SUNILHITEC,SUNILHITE.NS,Sunil Hitech Engineers Limited
SUNTECK,SUNTECK.NS,Sunteck Realty Limited
SUPER,SUPER.NS,Super Sales India Limited
SUPPETRO,SUPPETRO.NS,Supreme Petrochem Limited
SUPRAJIT,SUPRAJIT.NS,Suprajit Engineering Limited
SUPREMEIND,SUPREMEIN.NS,Supreme Industries Limited
SUPREMEINF,SUPREMEIN.NS,Supreme Infrastructure India Limited
SURAJDIAMN,SURAJDIAM.NS,Su-Raj Diamonds and Jewellery Limited
SURANAIND,SURANAIND.NS,Surana Industries Limited
SURANAT&P,SURANAT&P.NS,Surana Telecom and Power Limited
SURANAVEL,SURANAVEL.NS,Surana Ventures Limited
SURYALAXMI,SURYALAXM.NS,Suryalakshmi Cotton Mills Limited
SURYAROSNI,SURYAROSN.NS,Surya Roshni Limited
SUTLEJTEX,SUTLEJTEX.NS,Sutlej Textiles and Industries Limited
SUVEN,SUVEN.NS,Suven Life Sciences Limited
SWANENERGY,SWANENERG.NS,Swan Energy Limited
SWARAJENG,SWARAJENG.NS,Swaraj Engines Limited
SYMPHONY,SYMPHONY.NS,Symphony Limited
SYNCOM,SYNCOM.NS,Syncom Healthcare Limited
TAJGVK,TAJGVK.NS,Taj GVK Hotels & Resorts Limited
TALBROAUTO,TALBROAUT.NS,Talbros Automotive Components Limited
TALWALKARS,TALWALKAR.NS,Talwalkars Better Value Fitness Limited
TANLA,TANLA.NS,Tanla Solutions Limited
TANTIACONS,TANTIACON.NS,Tantia Constructions Limited
TATAELXSI,TATAELXSI.NS,Tata Elxsi Limited
TATAINVEST,TATAINVES.NS,Tata Investment Corporation Limited
TATAMETALI,TATAMETAL.NS,Tata Metaliks Limited
TATASPONGE,TATASPONG.NS,Tata Sponge Iron Limited
TBZ,TBZ.NS,Tribhovandas Bhimji Zaveri Limited
TCI,TCI.NS,Transport Corporation of India Limited
TCIDEVELOP,TCIDEVELO.NS,TCI Developers Limited
TDPOWERSYS,TDPOWERSY.NS,TD Power Systems Limited
TECHNO,TECHNO.NS,Techno Electric & Engineering Company Limited
TECHNOFAB,TECHNOFAB.NS,Technofab Engineering Limited
TECPRO,TECPRO.NS,Tecpro Systems Limited
TEXINFRA,TEXINFRA.NS,Texmaco Infrastructure & Holdings Limited
TEXRAIL,TEXRAIL.NS,Texmaco Rail & Engineering Limited
TFCILTD,TFCILTD.NS,Tourism Finance Corporation of India Limited
THANGAMAYL,THANGAMAY.NS,Thangamayil Jewellery Limited
THEBYKE,THEBYKE.NS,The Byke Hospitality Limited
THEMISMED,THEMISMED.NS,Themis Medicare Limited
THERMAX,THERMAX.NS,Thermax Limited
THOMASCOOK,THOMASCOO.NS,Thomas Cook (India) Limited
TI,TI.NS,Tilaknagar Industries Limited
TIDEWATER,TIDEWATER.NS,Tide Water Oil Company (India) Limited
TIIL,TIIL.NS,Technocraft Industries (India) Limited
TIJARIA,TIJARIA.NS,Tijaria Polypipes Limited
TIL,TIL.NS,TIL Limited
TIMBOR,TIMBOR.NS,Timbor Home Limited
TIMETECHNO,TIMETECHN.NS,Time Technoplast Limited
TIMKEN,TIMKEN.NS,Timken India Limited
TINPLATE,TINPLATE.NS,The Tinplate Company of India Limited
TIPSINDLTD,TIPSINDLT.NS,TIPS Industries Limited
TNPETRO,TNPETRO.NS,Tamilnadu PetroProducts Limited
TNPL,TNPL.NS,Tamil Nadu Newsprint & Papers Limited
TODAYS,TODAYS.NS,Todays Writing Instruments Limited
TOKYOPLAST,TOKYOPLAS.NS,Tokyo Plast International Limited
TORNTPHARM,TORNTPHAR.NS,Torrent Pharmaceuticals Limited
TORNTPOWER,TORNTPOWE.NS,Torrent Power Limited
TREEHOUSE,TREEHOUSE.NS,Tree House Education & Accessories Limited
TRENT,TRENT.NS,Trent Limited
TRF,TRF.NS,TRF Limited
TRIDENT,TRIDENT.NS,Trident Limited
TRIGYN,TRIGYN.NS,Trigyn Technologies Limited
TRIL,TRIL.NS,Transformers And Rectifiers (India) Limited
TRITURBINE,TRITURBIN.NS,Triveni Turbine Limited
TRIVENI,TRIVENI.NS,Triveni Engineering & Industries Limited
TTKHEALTH,TTKHEALTH.NS,TTK Healthcare Limited
TUBEINVEST,TUBEINVES.NS,Tube Investments of India Limited
TULSI,TULSI.NS,Tulsi Extrusions Limited
TULSYAN,TULSYAN.NS,Tulsyan Nec Limited
TV18BRDCST,TV18BRDCS.NS,TV18 Broadcast Limited
TVSELECT,TVSELECT.NS,TVS Electronics Limited
TVSSRICHAK,TVSSRICHA.NS,TVS Srichakra Limited
TVTODAY,TVTODAY.NS,TV Today Network Limited
TWILITAKA,TWILITAKA.NS,Twilight Litaka Pharma Limited
TWL,TWL.NS,Titagarh Wagons Limited
UBENGG,UBENGG.NS,UB Engineering Limited
UBHOLDINGS,UBHOLDING.NS,United Breweries (Holdings) Limited
UBL,UBL.NS,United Breweries Limited
UCALFUEL,UCALFUEL.NS,Ucal Fuel Systems Limited
UFLEX,UFLEX.NS,UFLEX Limited
UGARSUGAR,UGARSUGAR.NS,The Ugar Sugar Works Limited
UNICHEMLAB,UNICHEMLA.NS,Unichem Laboratories Limited
UNIENTER,UNIENTER.NS,Uniphos Enterprises Limited
UNITEDBNK,UNITEDBNK.NS,United Bank of India
UNITY,UNITY.NS,Unity Infraprojects Limited
UNIVCABLES,UNIVCABLE.NS,Universal Cables Limited
USHAMART,USHAMART.NS,Usha Martin Limited
USHERAGRO,USHERAGRO.NS,Usher Agro Limited
UTTAMSTL,UTTAMSTL.NS,Uttam Galva Steels Limited
VADILALIND,VADILALIN.NS,Vadilal Industries Limited
VAIBHAVGEM,VAIBHAVGE.NS,Vaibhav Gems Limited
VAKRANSOFT,VAKRANSOF.NS,Vakrangee Softwares Limited
VALECHAENG,VALECHAEN.NS,Valecha Engineering Limited
VALUEIND,VALUEIND.NS,Value Industries Limited
VARDHACRLC,VARDHACRL.NS,Vardhman Acrylics Limited
VARUNSHIP,VARUNSHIP.NS,Varun Shipping Company Limited
VASCONEQ,VASCONEQ.NS,Vascon Engineers Limited
VASWANI,VASWANI.NS,Vaswani Industries Limited
VENKEYS,VENKEYS.NS,Venky's (India) Limited
VENUSREM,VENUSREM.NS,Venus Remedies Limited
VESUVIUS,VESUVIUS.NS,Vesuvius India Limited
VGUARD,VGUARD.NS,V-Guard Industries Limited
VHL,VHL.NS,Vardhman Holdings Limited
VIKASGLOB,VIKASGLOB.NS,Vikas GlobalOne Limited
VINATIORGA,VINATIORG.NS,Vinati Organics Limited
VINDHYATEL,VINDHYATE.NS,Vindhya Telelinks Limited
VIPUL,VIPUL.NS,Vipul Limited
VISAKAIND,VISAKAIND.NS,Visaka Industries Limited
VISASTEEL,VISASTEEL.NS,Visa Steel Limited
VISESHINFO,VISESHINF.NS,Visesh Infotecnics Limited
VISUINTL,VISUINTL.NS,Visu International Limited
VIVIMEDLAB,VIVIMEDLA.NS,Vivimed Labs Limited
VOLTAMP,VOLTAMP.NS,Voltamp Transformers Limited
VSSL,VSSL.NS,Vardhman Special Steels Limited
VSTIND,VSTIND.NS,VST Industries Limited
VSTTILLERS,VSTTILLER.NS,V.S.T Tillers Tractors Limited
VTL,VTL.NS,Vardhman Textiles Limited
VTXIND,VTXIND.NS,VTX Industries Limited
WABAG,WABAG.NS,VA Tech Wabag Limited
WABCOINDIA,WABCOINDI.NS,WABCO India Limited
WENDT,WENDT.NS,Wendt (India) Limited
WHEELS,WHEELS.NS,Wheels India Limited
WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India Limited
WILLAMAGOR,WILLAMAGO.NS,Williamson Magor & Company Limited
WOCKPHARMA,WOCKPHARM.NS,Wockhardt Limited
WSTCSTPAPR,WSTCSTPAP.NS,West Coast Paper Mills Limited
WYETH,WYETH.NS,Wyeth Limited
XCHANGING,XCHANGING.NS,Xchanging Solutions Limited
XLENERGY,XLENERGY.NS,XL Energy Limited
XPROINDIA,XPROINDIA.NS,Xpro India Limited
ZANDUREALT,ZANDUREAL.NS,Zandu Realty Limited
ZENITHBIR,ZENITHBIR.NS,Zenith Birla (India) Limited
